timestamp,metric
1769728541.3708568,"{'user': 1.3020833333333333, 'system': 2.0833333333333335, 'idle': 96.61458333333333, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769728542.3711147,"{'user': 0.390625, 'system': 0.5208333333333334, 'idle': 99.08854166666667, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769728543.3721309,"{'user': 0.5181347150259067, 'system': 1.4248704663212435, 'idle': 98.05699481865285, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769728544.3724236,"{'user': 4.805194805194805, 'system': 3.116883116883117, 'idle': 92.07792207792208, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769728545.3731346,"{'user': 1.953125, 'system': 1.4322916666666667, 'idle': 96.61458333333333, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769728546.3732684,"{'user': 1.7015706806282722, 'system': 0.5235602094240838, 'idle': 97.77486910994764, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769728547.3740683,"{'user': 0.25906735751295334, 'system': 1.9430051813471503, 'idle': 97.79792746113989, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769728548.3749397,"{'user': 5.426356589147287, 'system': 1.937984496124031, 'idle': 92.63565891472868, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769728549.375443,"{'user': 0.2621231979030144, 'system': 0.5242463958060288, 'idle': 99.21363040629096, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769728550.376102,"{'user': 1.4267185473411155, 'system': 2.594033722438392, 'idle': 95.9792477302205, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769728551.377139,"{'user': 0.9162303664921466, 'system': 0.6544502617801047, 'idle': 98.42931937172774, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769728552.3773992,"{'user': 0.9138381201044387, 'system': 1.0443864229765014, 'idle': 98.04177545691905, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
