timestamp,metric
1769729752.274379,"{'user': 3.3810143042912872, 'system': 4.421326397919376, 'idle': 92.19765929778934, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769729753.2745001,"{'user': 7.682291666666667, 'system': 4.036458333333333, 'idle': 88.28125, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769729754.2752292,"{'user': 2.34375, 'system': 2.34375, 'idle': 95.3125, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769729755.2762966,"{'user': 7.552083333333333, 'system': 2.9947916666666665, 'idle': 89.453125, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769729756.276719,"{'user': 7.161458333333333, 'system': 1.953125, 'idle': 90.88541666666667, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769729757.2772868,"{'user': 2.734375, 'system': 2.2135416666666665, 'idle': 95.05208333333333, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769729758.278288,"{'user': 8.181818181818182, 'system': 3.5064935064935066, 'idle': 88.31168831168831, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769729759.2792802,"{'user': 0.6459948320413437, 'system': 2.9715762273901807, 'idle': 96.38242894056847, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769729760.2802615,"{'user': 2.730819245773732, 'system': 1.6905071521456436, 'idle': 95.57867360208063, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769729761.2808108,"{'user': 2.8534370944616367, 'system': 2.2049286716329966, 'idle': 94.94163423390536, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769729762.2812576,"{'user': 3.4031413612565444, 'system': 1.4397905759162304, 'idle': 95.15706806282722, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
1769729763.2814276,"{'user': 1.8134715025906736, 'system': 2.7202072538860103, 'idle': 95.46632124352331, 'nice': 0.0, 'iowait': 0.0, 'irq': 0.0, 'softirq': 0.0, 'steal': 0.0}"
